President,Date,Ordernumber,Description
William J. Clinton,23-Dec-93,Executive Order 12886,Adjustments of Rates of Pay and Allowances for the Uniformed Services
William J. Clinton,23-Dec-93,Executive Order 12887,Amending Executive Order No. 12878
William J. Clinton,23-Dec-93,Executive Order 12888,Amendments to the Manual for Courts-Martial 1984
William J. Clinton,27-Dec-93,Executive Order 12889,Implementation of the North American Free Trade Agreement
William J. Clinton,30-Dec-93,Executive Order 12890,Amendment to Executive Order No. 12864
William J. Clinton,15-Jan-94,Executive Order 12891,Advisory Committee on Human Radiation Experiments
William J. Clinton,17-Jan-94,Executive Order 12892,Leadership and Coordination of Fair Housing in Federal Programs: Affirmatively Furthering Fair Housing
William J. Clinton,26-Jan-94,Executive Order 12894,North Pacific Marine Science Organization
William J. Clinton,26-Jan-94,Executive Order 12895,North Pacific Anadromous Fish Commission
William J. Clinton,26-Jan-94,Executive Order 12893,Principles for Federal Infrastructure Investments
William J. Clinton,3-Feb-94,Executive Order 12896,Amending the Civil Service Rules Concerning Political Activity
William J. Clinton,3-Feb-94,Executive Order 12897,Garnishment of Federal Employees' Pay
William J. Clinton,11-Feb-94,Executive Order 12898,Federal Actions To Address Environmental Justice in Minority Populations and Low-Income Populations
William J. Clinton,15-Feb-94,Executive Order 12899,Establishing an Emergency Board To Investigate a Dispute Between The Long Island Rail Road and Certain of Its Employees Represented by the United Transportation Union
William J. Clinton,22-Feb-94,Executive Order 12900,Educational Excellence for Hispanic Americans
William J. Clinton,3-Mar-94,Executive Order 12901,Identification of Trade Expansion Priorities
William J. Clinton,8-Mar-94,Executive Order 12902,Energy Efficiency and Water Conservation at Federal Facilities
William J. Clinton,9-Mar-94,Executive Order 12903,Nuclear Cooperation With EURATOM
William J. Clinton,16-Mar-94,Executive Order 12904,"Commission for Environmental Cooperation, Commission for Labor Cooperation, Border Environment Cooperation Commission, and North American Development Bank"
William J. Clinton,25-Mar-94,Executive Order 12905,Trade and Environment Policy Advisory Committee
William J. Clinton,11-Apr-94,Executive Order 12906,Coordinating Geographic Data Acquisition and Access: The National Spatial Data Infrastructure
William J. Clinton,14-Apr-94,Executive Order 12907,Amending Executive Order No. 12882
William J. Clinton,22-Apr-94,Executive Order 12908,Order of Succession of Officers To Act as Secretary of the Army
William J. Clinton,22-Apr-94,Executive Order 12909,Order of Succession of Officers to Act as Secretary of the Air Force
William J. Clinton,23-Apr-94,Executive Order 12910,"Providing for the Closing of Government Departments and Agencies on April 27, 1994"
William J. Clinton,25-Apr-94,Executive Order 12911,Seal for the Office of National Drug Control Policy
William J. Clinton,29-Apr-94,Executive Order 12912,Amendment to Executive Order No. 12878
William J. Clinton,2-May-94,Executive Order 12913,Revocation of Executive Order No. 12582
William J. Clinton,7-May-94,Executive Order 12914,Prohibiting Certain Transactions With Respect to Haiti
William J. Clinton,13-May-94,Executive Order 12915,Federal Implementation of the North American Agreement on Environmental Cooperation
William J. Clinton,13-May-94,Executive Order 12916,Implementation of the Border Environment Cooperation Commission and the North American Development Bank
William J. Clinton,21-May-94,Executive Order 12917,Prohibiting Certain Transactions With Respect to Haiti
William J. Clinton,26-May-94,Executive Order 12918,Prohibiting Certain Transactions With Respect to Rwanda and Delegating Authority With Respect to Other United Nations Arms Embargoes
William J. Clinton,3-Jun-94,Executive Order 12919,National Defense Industrial Resources Preparedness
William J. Clinton,10-Jun-94,Executive Order 12920,Prohibiting Certain Transactions With Respect to Haiti
William J. Clinton,13-Jun-94,Executive Order 12921,Amendment to Executive Order No. 12864
William J. Clinton,21-Jun-94,Executive Order 12922,Blocking Property of Certain Haitian Nationals
William J. Clinton,30-Jun-94,Executive Order 12923,Continuation of Export Control Regulations
William J. Clinton,19-Aug-94,Executive Order 12924,Continuation of Export Control Regulations
William J. Clinton,29-Aug-94,Executive Order 12925,Establishing an Emergency Board To Investigate a Dispute Between the Soo Line Railroad Company and Certain of Its Employees Represented by the United Transportation Union
William J. Clinton,12-Sep-94,Executive Order 12926,Implementation of the National Voter Registration Act of 1993
William J. Clinton,15-Sep-94,Executive Order 12927,Ordering the Selected Reserve of the Armed Forces to Active Duty
William J. Clinton,16-Sep-94,Executive Order 12928,"Promoting Procurement With Small Businesses Owned and Controlled by Socially and Economically Disadvantaged Individuals, Historically Black Colleges and Universities, and Minority Institutions"
William J. Clinton,29-Sep-94,Executive Order 12929,Delegation of Authority Regarding the Naval Petroleum and Oil Shale Reserves
William J. Clinton,29-Sep-94,Executive Order 12930,Measures To Restrict the Participation by United States Persons in Weapons Proliferation Activities
William J. Clinton,13-Oct-94,Executive Order 12931,Federal Procurement Reform
William J. Clinton,14-Oct-94,Executive Order 12932,Termination of Emergency With Respect to Haiti
William J. Clinton,20-Oct-94,Executive Order 12933,Nondisplacement of Qualified Workers Under Certain Contracts
William J. Clinton,25-Oct-94,Executive Order 12934,Blocking Property and Additional Measures With Respect to the Bosnian Serb-Controlled Areas of the Republic of Bosnia and Herzegovina
William J. Clinton,28-Oct-94,Executive Order 12935,"Amending Executive Order No. 11157 as it Relates to the Definition of ""Field Duty"""
William J. Clinton,10-Nov-94,Executive Order 12936,"Amendments to the Manual for Courts-Martial, United States, 1984"
William J. Clinton,10-Nov-94,Executive Order 12937,Declassification of Selected Records Within the National Archives of the United States
William J. Clinton,14-Nov-94,Executive Order 12938,Proliferation of Weapons of Mass Destruction
William J. Clinton,22-Nov-94,Executive Order 12939,Expedited Naturalization of Aliens and Noncitizen Nationals Who Served in an Active-Duty Status During the Persian Gulf Conflict
William J. Clinton,28-Nov-94,Executive Order 12940,Amendment to Civil Service Rule VI
William J. Clinton,1-Dec-94,Executive Order 12941,Seismic Safety of Existing Federally Owned or Leased Buildings
William J. Clinton,12-Dec-94,Executive Order 12942,"Addition to Level V of the Executive Schedule - Commissioner, Administration for Native Americans"
William J. Clinton,13-Dec-94,Executive Order 12943,Further Amendment to Executive Order No. 11755
William J. Clinton,28-Dec-94,Executive Order 12944,Adjustments of Certain Rates of Pay and Allowances
William J. Clinton,20-Jan-95,Executive Order 12945,Amendment to Executive Order No. 12640
William J. Clinton,20-Jan-95,Executive Order 12946,President's Advisory Board on Arms Proliferation Policy
William J. Clinton,23-Jan-95,Executive Order 12947,Prohibiting Transactions With Terrorists Who Threaten To Disrupt the Middle East Peace Process
William J. Clinton,30-Jan-95,Executive Order 12948,Amendment to Executive Order No. 12898
William J. Clinton,9-Feb-95,Executive Order 12949,Foreign Intelligence Physical Searches
William J. Clinton,22-Feb-95,Executive Order 12950,Establishing an Emergency Board To Investigate a Dispute Between Metro North Commuter Railroad and Its Employees by Certain Labor Organizations
William J. Clinton,22-Feb-95,Executive Order 12951,Release of Imagery Acquired by Space-Based National Intelligence Reconnaissance Systems
William J. Clinton,24-Feb-95,Executive Order 12952,Amendment to Executive Order No. 12950
William J. Clinton,27-Feb-95,Executive Order 12953,Actions Required of All Executive Agencies To Facilitate Payment of Child Support
William J. Clinton,8-Mar-95,Executive Order 12954,Ensuring the Economical and Efficient Administration and Completion of Federal Government Contracts
William J. Clinton,9-Mar-95,Executive Order 12955,Nuclear Cooperation With EURATOM
William J. Clinton,13-Mar-95,Executive Order 12956,Israel-United States Binational Industrial Research and Development Foundation
William J. Clinton,15-Mar-95,Executive Order 12957,Prohibiting Certain Transactions With Respect to the Development of Iranian Petroleum Resources
William J. Clinton,17-Apr-95,Executive Order 12958,Classified National Security Information
William J. Clinton,6-May-95,Executive Order 12959,Prohibiting Certain Transactions With Respect to Iran
William J. Clinton,12-May-95,Executive Order 12960,"Amendments to the Manual for Courts-Martial, United States, 1984"
William J. Clinton,26-May-95,Executive Order 12961,Presidential Advisory Committee on Gulf War Veterans' Illnesses
William J. Clinton,7-Jun-95,Executive Order 12962,Recreational Fisheries
William J. Clinton,14-Jun-95,Executive Order 12963,Presidential Advisory Council on HIV/AIDS
William J. Clinton,21-Jun-95,Executive Order 12964,Commission on United States-Pacific Trade and Investment Policy
William J. Clinton,27-Jun-95,Executive Order 12965,Further Amendment to Executive Order No. 12852
William J. Clinton,14-Jul-95,Executive Order 12966,Foreign Disaster Assistance
William J. Clinton,31-Jul-95,Executive Order 12967,Establishing an Emergency Board to Investigate Disputes Between Metro North Commuter Railroad and Its Employees Represented by Certain Labor Organizations
William J. Clinton,2-Aug-95,Executive Order 12968,Access to Classified Information
William J. Clinton,8-Aug-95,Executive Order 12969,Federal Acquisition and Community Right-To-Know
William J. Clinton,14-Sep-95,Executive Order 12970,Further Amendment to Executive Order No. 12864
William J. Clinton,15-Sep-95,Executive Order 12971,Amendment to Executive Order No. 12425
William J. Clinton,18-Sep-95,Executive Order 12972,Amendment to Executive Order No. 12958
William J. Clinton,27-Sep-95,Executive Order 12973,Amendment to Executive Order No. 12901
William J. Clinton,29-Sep-95,Executive Order 12974,Continuance of Certain Federal Advisory Committees
William J. Clinton,3-Oct-95,Executive Order 12975,Protection of Human Research Subjects and Creation of National Bioethics Advisory Commission
William J. Clinton,5-Oct-95,Executive Order 12976,Compensation Practices of Government Corporations
William J. Clinton,19-Oct-95,Executive Order 12977,Interagency Security Committee
William J. Clinton,21-Oct-95,Executive Order 12978,Blocking Assets and Prohibiting Transactions With Significant Narcotics Traffickers
William J. Clinton,25-Oct-95,Executive Order 12979,Agency Procurement Protests
William J. Clinton,17-Nov-95,Executive Order 12980,"Further Amendment to Executive Order 12852, as Amended"
William J. Clinton,5-Dec-95,Executive Order 12981,Administration of Export Controls
William J. Clinton,8-Dec-95,Executive Order 12982,Ordering the Selected Reserve of the Armed Forces to Active Duty
William J. Clinton,21-Dec-95,Executive Order 12983,Amendment to Executive Order 12871
William J. Clinton,28-Dec-95,Executive Order 12984,Adjustments of Certain Rates of Pay and Allowances
William J. Clinton,11-Jan-96,Executive Order 12985,Establishing the Armed Forces Service Medal
William J. Clinton,18-Jan-96,Executive Order 12986,International Union for Conservation of Nature and Natural Resources
William J. Clinton,31-Jan-96,Executive Order 12987,Amendment to Executive Order 12964
William J. Clinton,5-Feb-96,Executive Order 12988,Civil Justice Reform
William J. Clinton,13-Feb-96,Executive Order 12989,Economy and Efficiency in Government Procurement Through Compliance With Certain Immigration and Naturalization Act Provisions
William J. Clinton,27-Feb-96,Order-,Further Designation Under Executive Order No. 12958
William J. Clinton,29-Feb-96,Executive Order 12990,"Adjustments of Rates of Pay and Allowances for the Uniformed Services, Amendment to Executive Order 12984"
William J. Clinton,6-Mar-96,Executive Order 12991,Adding the Small Business Administration to the President's Export Council
William J. Clinton,15-Mar-96,Executive Order 12992,President's Council on Counter-Narcotics
William J. Clinton,21-Mar-96,Executive Order 12993,Administrative Allegations Against Inspectors General
William J. Clinton,21-Mar-96,Executive Order 12994,Continuing the President's Committee on Mental Retardation and Broadening Its Membership and Responsibilities
William J. Clinton,25-Mar-96,Executive Order 12996,Management and General Public Use of the National Wildlife Refuge System
William J. Clinton,25-Mar-96,Executive Order 12995,Amendment to Executive Order No. 12873
William J. Clinton,1-Apr-96,Executive Order 12997,Korean Peninsula Energy Development Organization
William J. Clinton,5-Apr-96,Executive Order 12998,Amendment to Executive Order No. 11880
William J. Clinton,17-Apr-96,Executive Order 12999,Educational Technology: Ensuring Opportunity for All Children in the Next Century
William J. Clinton,24-Apr-96,Executive Order 13000,Order of Succession of Officers To Act as Secretary of Defense
William J. Clinton,8-May-96,Executive Order 13001,Establishing an Emergency Board To Investigate a Dispute Between Certain Railroads and Their Employees
William J. Clinton,13-May-96,Executive Order 13002,Termination of Combat Zone Designation in Vietnam and Waters Adjacent Thereto
William J. Clinton,15-May-96,Executive Order 13003,Establishing an Emergency Board to Investigate Disputes Between Certain Railroads Represented by the National Carriers' Conference Committee of the National Labor Conference and Their Employees Represented by the Brotherhood of Maintenance of Way Employees
William J. Clinton,17-May-96,Executive Order 13004,Establishing an Emergency Board To Investigate Disputes Between Certain Railroads Represented by the National Railway Labor Conference and Their Employees Represented by Certain Labor Organizations
William J. Clinton,21-May-96,Executive Order 13005,Empowerment Contracting
William J. Clinton,21-May-96,Executive Order 13006,Locating Federal Facilities on Historic Properties in our Nation's Central Cities
William J. Clinton,24-May-96,Executive Order 13007,Indian Sacred Sites
William J. Clinton,3-Jun-96,Executive Order 13008,Amending Executive Order No. 12880
William J. Clinton,14-Jun-96,Executive Order 13009,Amendment to Executive Order No. 12963 Entitled Presidential Advisory Council on HIV/AIDS
William J. Clinton,15-Jul-96,Executive Order 13010,Critical Infrastructure Protection
William J. Clinton,16-Jul-96,Executive Order 13011,Federal Information Technology
William J. Clinton,18-Jul-96,Executive Order 13012,Establishing an Emergency Board To Investigate a Dispute Between the Southeastern Pennsylvania Transportation Authority and Their Employees Represented by The Brotherhood of Locomotive Engineers
William J. Clinton,6-Aug-96,Executive Order 13013,"Amending Executive Order No. 10163, The Armed Forces Reserve Medal"
William J. Clinton,15-Aug-96,Executive Order 13014,Maintaining Unofficial Relations With the People on Taiwan
William J. Clinton,22-Aug-96,Executive Order 13015,White House Commission on Aviation Safety and Security
William J. Clinton,28-Aug-96,Executive Order 13016,Amendment to Executive Order 12580
William J. Clinton,5-Sep-96,Executive Order 13017,Advisory Commission on Consumer Protection and Quality in the Health Care Industry
William J. Clinton,16-Sep-96,Executive Order 13018,Amending Executive Order No. 12975
William J. Clinton,28-Sep-96,Executive Order 13019,Supporting Families: Collecting Delinquent Child Support Obligations
William J. Clinton,12-Oct-96,Executive Order 13020,Amendment to Executive Order 12981
William J. Clinton,19-Oct-96,Executive Order 13021,Tribal Colleges and Universities
William J. Clinton,31-Oct-96,Executive Order 13022,Administration of the Midway Islands
William J. Clinton,6-Nov-96,Executive Order 13023,"Amendments to Executive Order 12992, Expanding and Changing the Name of the President's Council on Counter-Narcotics"
William J. Clinton,7-Nov-96,Executive Order 13024,"Amending Executive Order 12015, Relating to Competitive Appointments of Students Who Have Completed Approved Career-Related Work Study Programs"
William J. Clinton,13-Nov-96,Executive Order 13025,"Amendment to Executive Order 13010, the President's Commission on Critical Infrastructure Protection"
William J. Clinton,15-Nov-96,Executive Order 13026,Administration of Export Controls on Encryption Products
William J. Clinton,15-Nov-96,Executive Order 13027,Establishing an Emergency Board To Investigate a Dispute Between the Southeastern Pennsylvania Transportation Authority and Its Employees Represented by the Brotherhood of Locomotive Engineers
William J. Clinton,3-Dec-96,Executive Order 13029,3-Dec-96
William J. Clinton,3-Dec-96,Executive Order 13028,Further Amendments to Executive Order No. 12757 - Implementation of the Enterprise for the Americas Initiative
William J. Clinton,12-Dec-96,Executive Order 13030,Administration of Foreign Assistance and Related Functions and Arms Export Controls
William J. Clinton,13-Dec-96,Executive Order 13031,Federal Alternative Fueled Vehicle Leadership
William J. Clinton,26-Dec-96,Executive Order 13032,Further Amendment to Executive Order No. 12964
William J. Clinton,27-Dec-96,Executive Order 13033,Adjustments of Certain Rates of Pay and Allowances
William J. Clinton,30-Jan-97,Executive Order 13034,Extension of Presidential Advisory Committee on Gulf War Veterans' Illnesses
William J. Clinton,11-Feb-97,Executive Order 13035,"Advisory Committee on High-Performance Computing and Communications, Information Technology, and the Next Generation Internet"
William J. Clinton,15-Feb-97,Executive Order 13036,Establishing an Emergency Board To Investigate a Dispute Between American Airlines and Its Employees Represented by the Allied Pilots Association
William J. Clinton,26-Feb-97,Order-,Designation Under Executive Order 12958
William J. Clinton,3-Mar-97,Executive Order 13037,Commission To Study Capital Budgeting
William J. Clinton,11-Mar-97,Executive Order 13038,Advisory Committee on the Public Interest Obligations of Digital Television Broadcasters
William J. Clinton,11-Mar-97,Executive Order 13039,Exclusion of the Naval Special Warfare Development Group From the Federal Labor-Management Relations Program
William J. Clinton,25-Mar-97,Executive Order 13040,"Amendment to Executive Order 13017, Advisory Commission on Consumer Protection and Quality in the Health Care Industry"
William J. Clinton,3-Apr-97,Executive Order 13041,"Further Amendment to Executive Order 13010, as Amended"
William J. Clinton,9-Apr-97,Executive Order 13042,Implementing for the United States Article VIII of the Agreement Establishing the World Trade Organization Concerning Legal Capacity and Privileges and Immunities
William J. Clinton,16-Apr-97,Executive Order 13043,Increasing Seat Belt Use in the United States
William J. Clinton,18-Apr-97,Executive Order 13044,"Amending Executive Order 12752, Implementation of the Agricultural Trade Development and Assistance Act of 1954, as Amended, and the Food for Progress Act of 1985, as Amended"
William J. Clinton,21-Apr-97,Executive Order 13045,Protection of Children From Environmental Health Risks and Safety Risks
William J. Clinton,16-May-97,Executive Order 13046,"Further Amendment to Executive Order 12975, Extension of the National Bioethics Advisory Commission"
William J. Clinton,20-May-97,Executive Order 13047,Prohibiting New Investment in Burma
William J. Clinton,10-Jun-97,Executive Order 13048,Improving Administrative Management in the Executive Branch
William J. Clinton,11-Jun-97,Executive Order 13049,Organization for the Prohibition of Chemical Weapons
William J. Clinton,13-Jun-97,Executive Order 13050,President's Advisory Board on Race
William J. Clinton,24-Jun-97,Executive Order 13051,Internal Revenue Service Management Board
William J. Clinton,30-Jun-97,Executive Order 13052,Hong Kong Economic and Trade Offices
William J. Clinton,30-Jun-97,Executive Order 13053,Adding Members to and Extending the President's Council on Sustainable Development
William J. Clinton,7-Jul-97,Executive Order 13054,Eligibility of Certain Overseas Employees for Noncompetitive Appointments
William J. Clinton,15-Jul-97,Executive Order 13055,Coordination of United States Government International Exchanges and Training Programs
William J. Clinton,21-Jul-97,Executive Order 13056,"Further Amendment to Executive Order 13017, Advisory Commission on Consumer Protection and Quality in the Health Care Industry"
William J. Clinton,26-Jul-97,Executive Order 13057,Federal Actions in the Lake Tahoe Region
William J. Clinton,9-Aug-97,Executive Order 13058,Protecting Federal Employees and the Public From Exposure to Tobacco Smoke in the Federal Workplace
William J. Clinton,19-Aug-97,Executive Order 13059,Prohibiting Certain Transactions With Respect to Iran
William J. Clinton,21-Aug-97,Executive Order 13060,Establishing an Emergency Board To Investigate Disputes Between Amtrak and Its Employees Represented by the Brotherhood of Maintenance of Way Employes
William J. Clinton,11-Sep-97,Executive Order 13061,Federal Support of Community Efforts Along American Heritage Rivers
William J. Clinton,29-Sep-97,Executive Order 13062,Continuance of Certain Federal Advisory Committees and Amendments to Executive Orders 13038 and 13054
William J. Clinton,30-Sep-97,Executive Order 13063,"Level V of the Executive Schedule: Removal of the Executive Director, Pension Benefit Guaranty Corporation, Department of Labor"
William J. Clinton,11-Oct-97,Executive Order 13064,"Further Amendment to Executive Order 13010, as Amended, Critical Infrastructure Protection"
William J. Clinton,22-Oct-97,Executive Order 13065,Further Amendment to Executive Order 13038 - Advisory Committee on Public Interest Obligations of Digital Television Broadcasters
William J. Clinton,29-Oct-97,Executive Order 13066,"Amendment to Executive Order 13037, Commission To Study Capital Budgeting"
William J. Clinton,3-Nov-97,Executive Order 13067,Blocking Sudanese Government Property and Prohibiting Transactions With Sudan
William J. Clinton,25-Nov-97,Executive Order 13068,"Closing of Government Departments and Agencies on Friday, December 26, 1997"
William J. Clinton,12-Dec-97,Executive Order 13069,Prohibiting Certain Transactions With Respect to UNITA
William J. Clinton,15-Dec-97,Executive Order 13070,"The Intelligence Oversight Board, Amendment to Executive Order 12863"
William J. Clinton,29-Dec-97,Executive Order 13071,Adjustments of Certain Rates of Pay
William J. Clinton,2-Feb-98,Executive Order 13072,White House Millennium Council
William J. Clinton,4-Feb-98,Executive Order 13073,Year 2000 Conversion
William J. Clinton,9-Feb-98,Executive Order 13074,Amendment to Executive Order 12656
William J. Clinton,19-Feb-98,Executive Order 13075,Special Oversight Board for Department of Defense Investigations of Gulf War Chemical and Biological Incidents
William J. Clinton,24-Feb-98,Executive Order 13076,Ordering the Selected Reserve of the Armed Forces to Active Duty
William J. Clinton,10-Mar-98,Executive Order 13077,"Further Amendment to Executive Order 13010, Critical Infrastructure Protection"
William J. Clinton,13-Mar-98,Executive Order 13078,Increasing Employment of Adults With Disabilities
William J. Clinton,7-Apr-98,Executive Order 13079,Waiver Under the Trade Act of 1974 With Respect to Vietnam
William J. Clinton,7-Apr-98,Executive Order 13080,American Heritage Rivers Initiative Advisory Committee
William J. Clinton,30-Apr-98,Executive Order 13081,"Amendment to Executive Order No. 13038, Advisory Committee on Public Interest Obligations of Digital Television Broadcasters"
William J. Clinton,8-May-98,Executive Order 13082,Joint Mexican-United States Defense Commission
William J. Clinton,14-May-98,Executive Order 13083,Federalism
William J. Clinton,14-May-98,Executive Order 13084,Consultation and Coordination With Indian Tribal Governments
William J. Clinton,26-May-98,Executive Order 13085,Establishment of the Enrichment Oversight Committee
William J. Clinton,27-May-98,Executive Order 13086,"1998 Amendments to the Manual for Courts-Martial, United States"
William J. Clinton,28-May-98,Executive Order 13087,"Further Amendment to Executive Order 11478, Equal Employment Opportunity in the Federal Government"
William J. Clinton,9-Jun-98,Executive Order 13088,"Blocking Property of the Governments of the Federal Republic of Yugoslavia (Serbia and Montenegro), the Republic of Serbia, and the Republic of Montenegro, and Prohibiting New Investment in the Republic of Serbia in Response to the Situation in Kosovo"
William J. Clinton,11-Jun-98,Executive Order 13089,Coral Reef Protection
William J. Clinton,29-Jun-98,Executive Order 13091,Administration of Arms Export Controls and Foreign Assistance
William J. Clinton,29-Jun-98,Executive Order 13090,President's Commission on the Celebration of Women in American History
William J. Clinton,24-Jul-98,Executive Order 13092,"President's Information Technology Advisory Committee, Amendments to Executive Order 13035"
William J. Clinton,27-Jul-98,Executive Order 13093,"American Heritage Rivers, Amending Executive Orders 13061 and 13080"
William J. Clinton,28-Jul-98,Executive Order 13094,Proliferation of Weapons of Mass Destruction
William J. Clinton,5-Aug-98,Executive Order 13095,Suspension of Executive Order 13083
William J. Clinton,6-Aug-98,Executive Order 13096,American Indian and Alaska Native Education
William J. Clinton,7-Aug-98,Executive Order 13097,Interparliamentary Union
William J. Clinton,18-Aug-98,Executive Order 13098,Blocking Property of UNITA and Prohibiting Certain Transactions With Respect to UNITA
William J. Clinton,20-Aug-98,Executive Order 13099,Prohibiting Transactions With Terrorists Who Threaten To Disrupt the Middle East Peace Process
William J. Clinton,25-Aug-98,Executive Order 13100,President's Council on Food Safety
William J. Clinton,14-Sep-98,Executive Order 13101,"Greening the Government Through Waste Prevention, Recycling, and Federal Acquisition"
William J. Clinton,25-Sep-98,Executive Order 13102,"Further Amendment to Executive Order 13038, Advisory Committee on Public Interest Obligations of Digital Television Broadcasters"
William J. Clinton,30-Sep-98,Executive Order 13103,Computer Software Piracy
William J. Clinton,19-Oct-98,Executive Order 13104,"Amendment to Executive Order 13021, Tribal Colleges and Universities"
William J. Clinton,2-Nov-98,Executive Order 13105,Open Enrollment Season for Participants in the Foreign Service Retirement and Disability System and the Central Intelligence Agency Retirement and Disability System
William J. Clinton,7-Dec-98,Executive Order 13106,Adjustments of Certain Rates of Pay and Delegation of a Federal Pay Administration Authority
William J. Clinton,10-Dec-98,Executive Order 13107,Implementation of Human Rights Treaties
William J. Clinton,11-Dec-98,Executive Order 13108,"Further Amendment to Executive Order 13037, Commission To Study Capital Budgeting"
William J. Clinton,17-Dec-98,Executive Order 13109,"Half-Day Closing of Executive Departments and Agencies of the Federal Government on Thursday, December 24, 1998"
William J. Clinton,11-Jan-99,Executive Order 13110,Nazi War Criminal Records Interagency Working Group
William J. Clinton,12-Jan-99,Executive Order 13111,Using Technology To Improve Training Opportunities for Federal Government Employees
William J. Clinton,3-Feb-99,Executive Order 13112,Invasive Species
William J. Clinton,10-Feb-99,Executive Order 13113,"President's Information Technology Advisory Committee, Further Amendments to Executive Order 13035, as Amended"
William J. Clinton,25-Feb-99,Executive Order 13114,"Further Amendment to Executive Order 12852, as Amended, Extending the President's Council on Sustainable Development"
William J. Clinton,25-Mar-99,Executive Order 13115,Interagency Task Force on the Roles and Missions of the United States Coast Guard
William J. Clinton,31-Mar-99,Executive Order 13117,"Further Amendment to Executive Order 12981, as Amended"
William J. Clinton,31-Mar-99,Executive Order 13118,Implementation of the Foreign Affairs Reform and Restructuring Act of 1998
William J. Clinton,31-Mar-99,Executive Order 13116,Identification of Trade Expansion Priorities and Discriminatory Procurement Practices
William J. Clinton,13-Apr-99,Executive Order 13119,"Designation of Federal Republic of Yugoslavia (Serbia/Montenegro), Albania, the Airspace Above, and Adjacent Waters as a Combat Zone"
William J. Clinton,27-Apr-99,Executive Order 13120,Ordering the Selected Reserve and Certain Individual Ready Reserve Members of the Armed Forces to Active Duty
William J. Clinton,30-Apr-99,Executive Order 13121,"Blocking Property of the Governments of the Federal Republic of Yugoslavia (Serbia and Montenegro), the Republic of Serbia, and the Republic of Montenegro, and Prohibiting Trade Transactions Involving the Federal Republic of Yugoslavia"
William J. Clinton,25-May-99,Executive Order 13122,Interagency Task Force on the Economic Development of the Southwest Border
William J. Clinton,3-Jun-99,Executive Order 13123,Greening the Government Through Efficient Energy Management
William J. Clinton,4-Jun-99,Executive Order 13124,Amending the Civil Service Rules Relating to Federal Employees With Psychiatric Disabilities
William J. Clinton,7-Jun-99,Executive Order 13125,Increasing Participation of Asian Americans and Pacific Islanders in Federal Programs
William J. Clinton,12-Jun-99,Executive Order 13126,Prohibition of Acquisition of Products Produced by Forced or Indentured Child Labor
William J. Clinton,14-Jun-99,Executive Order 13127,"Amendment to Executive Order 13073, Year 2000 Conversion"
William J. Clinton,25-Jun-99,Executive Order 13128,Implementation of the Chemical Weapons Convention and the Chemical Weapons Convention Implementation Act
William J. Clinton,4-Jul-99,Executive Order 13129,Blocking Property and Prohibiting Transactions With the Taliban
William J. Clinton,14-Jul-99,Executive Order 13130,National Infrastructure Assurance Council
William J. Clinton,22-Jul-99,Executive Order 13131,"Further Amendments to Executive Order 12757, Implementation of the Enterprise for the Americas Initiative"
William J. Clinton,4-Aug-99,Executive Order 13132,Federalism
William J. Clinton,5-Aug-99,Executive Order 13133,Working Group on Unlawful Conduct on the Internet
William J. Clinton,12-Aug-99,Executive Order 13134,Developing and Promoting Biobased Products and Bioenergy
William J. Clinton,27-Aug-99,Executive Order 13135,"Amendment to Executive Order 12216, President's Committee on the International Labor Organization"
William J. Clinton,3-Sep-99,Executive Order 13136,"Amendment to Executive Order 13090, President's Commission on the Celebration of Women in American History"
William J. Clinton,15-Sep-99,Executive Order 13137,"Further Amendment to Executive Order 12975, as Amended, National Bioethics Advisory Commission"
William J. Clinton,30-Sep-99,Executive Order 13138,Continuance of Certain Federal Advisory Committees
William J. Clinton,30-Sep-99,Executive Order 13139,Improving Health Protection of Military Personnel Participating in Particular Military Operations
William J. Clinton,6-Oct-99,Executive Order 13140,"1999 Amendments to the Manual for Courts-Martial, United States"
William J. Clinton,16-Nov-99,Executive Order 13141,Environmental Review of Trade Agreements
William J. Clinton,19-Nov-99,Executive Order 13142,Amendment to Executive Order 12958 - Classified National Security Information
William J. Clinton,1-Dec-99,Executive Order 13143,"Amending Executive Order 10173, as Amended, Prescribing Regulations Relating to the Safeguarding of Vessels, Harbors, Ports, and Waterfront Facilities of the United States"
William J. Clinton,21-Dec-99,Executive Order 13144,Adjustments of Certain Rates of Pay
William J. Clinton,18-Jan-00,Executive Order 13194,Prohibiting the Importation of Rough Diamonds From Sierra Leone
William J. Clinton,8-Feb-00,Executive Order 13145,To Prohibit Discrimination in Federal Employment Based on Genetic Information
William J. Clinton,29-Feb-00,Executive Order 13146,"Presidents Council on the Future of Princeville, North Carolina"
William J. Clinton,7-Mar-00,Executive Order 13147,White House Commission on Complementary and Alternative Medicine Policy
William J. Clinton,21-Apr-00,Executive Order 13148,Greening the Government Through Leadership in Environmental Management
William J. Clinton,21-Apr-00,Executive Order 13150,Federal Workforce Transportation
William J. Clinton,21-Apr-00,Executive Order 13149,Greening the Government Through Federal Fleet and Transportation Efficiency
William J. Clinton,27-Apr-00,Executive Order 13151,Global Disaster Information Network
William J. Clinton,2-May-00,Executive Order 13152,"Further Amendment to Executive Order 11478, Equal Employment Opportunity in Federal Government"
William J. Clinton,3-May-00,Executive Order 13153,Actions To Improve Low-Performing Schools
